TimeGenerated,DeviceName,ActionType,RemoteIP,RemotePort,RemoteUrl,LocalIP,LocalPort,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessCommandLine
"Sep 12, 2026 11:00:35 PM",sql-labuser,ConnectionSuccess,52.123.247.54,443,,10.1.0.100,58910,Tcp,sql-labuser,msedgewebview2.exe,"""msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\Users\sql-labuser\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.21100.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1868,i,16749554121450019244,12429856798463108885,524288 --field-trial-handle=1960,i,17588051814055144971,7618519245115937803,262144 --variations-seed-version --pseudonymization-salt-handle=1964,i,4504454863823045213,2962092918289254123,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2280 /prefetch:11 /pfhostedapp:10bbac6153391f6add1780c637e5040b51b70d53"
"Sep 12, 2026 10:53:59 PM",sql-labuser,ConnectionAcknowledged,4.150.223.105,443,,10.1.0.100,64787,TcpV4,,,
"Sep 12, 2026 10:52:41 PM",sql-labuser,ConnectionAcknowledged,20.184.175.19,443,,10.1.0.100,64751,TcpV4,,,
"Sep 12, 2026 10:51:59 PM",sql-labuser,ConnectionAcknowledged,20.42.73.31,443,,10.1.0.100,64731,TcpV4,,,
"Sep 12, 2026 10:51:59 PM",sql-labuser,ConnectionAcknowledged,57.155.104.224,443,,10.1.0.100,64730,TcpV4,,,
"Sep 12, 2026 10:51:57 PM",sql-labuser,ConnectionSuccess,57.155.104.224,443,settings-win.data.microsoft.com,10.1.0.100,64730,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 12, 2026 10:50:18 PM",sql-labuser,ConnectionAcknowledged,172.183.192.109,443,,10.1.0.100,64679,TcpV4,,,
"Sep 12, 2026 10:50:02 PM",sql-labuser,ConnectionSuccess,4.150.223.100,443,v10.events.data.microsoft.com,10.1.0.100,64671,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 12, 2026 10:47:46 PM",sql-labuser,ConnectionAcknowledged,4.150.223.99,443,,10.1.0.100,64599,TcpV4,,,
"Sep 12, 2026 10:47:38 PM",sql-labuser,ConnectionAcknowledged,20.184.175.4,443,,10.1.0.100,64596,TcpV4,,,
"Sep 12, 2026 10:45:44 PM",sql-labuser,ConnectionAcknowledged,52.168.117.171,443,,10.1.0.100,64536,TcpV4,,,
"Sep 12, 2026 10:37:16 PM",sql-labuser,ConnectionSuccess,146.75.38.172,80,ctldl.windowsupdate.com,10.1.0.100,64296,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 12, 2026 10:23:35 PM",sql-labuser,ConnectionSuccess,4.150.223.96,443,v20.events.data.microsoft.com,10.1.0.100,63891,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 12, 2026 10:22:41 PM",sql-labuser,ConnectionAcknowledged,20.184.175.8,443,,10.1.0.100,63864,TcpV4,,,
"Sep 12, 2026 10:21:37 PM",sql-labuser,ConnectionAcknowledged,4.150.223.102,443,,10.1.0.100,63836,TcpV4,,,
"Sep 12, 2026 10:19:54 PM",sql-labuser,ConnectionSuccess,4.150.223.111,443,us-v20.events.endpoint.security.microsoft.com,10.1.0.100,63778,Tcp,system,mpdefendercoreservice.exe,MpDefenderCoreService.exe
"Sep 12, 2026 10:13:44 PM",sql-labuser,ConnectionAcknowledged,51.116.246.106,443,,10.1.0.100,63606,TcpV4,,,
"Sep 12, 2026 10:13:43 PM",sql-labuser,ConnectionSuccess,51.116.246.106,443,self.events.data.microsoft.com,10.1.0.100,63606,Tcp,sql-labuser,onedrive.sync.service.exe,"""OneDrive.Sync.Service.exe"" /silentConfig"
"Sep 12, 2026 10:12:56 PM",sql-labuser,ConnectionAcknowledged,13.89.179.12,443,,10.1.0.100,63580,TcpV4,,,
"Sep 12, 2026 10:10:54 PM",sql-labuser,ConnectionAcknowledged,4.150.223.104,443,,10.1.0.100,63517,TcpV4,,,
