TimeGenerated,AccountName,DeviceName,ProcessCommandLine,InitiatingProcessCommandLine,FolderPath,FileName
"Sep 15, 2026 12:35:47 AM",system,sql-labuser,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\SecEdit.exe,SecEdit.exe
"Sep 15, 2026 12:35:39 AM",system,sql-labuser,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\SecEdit.exe,SecEdit.exe
"Sep 15, 2026 12:35:35 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:35:35 AM",system,sql-labuser,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,"""gc_service.exe"" -k netsvcs",C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.116.0\dsc\GC\gc_worker.exe,gc_worker.exe
"Sep 15, 2026 12:35:09 AM",system,sql-labuser,cmd.exe,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\cmd.exe,cmd.exe
"Sep 15, 2026 12:34:57 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:34:57 AM",system,sql-labuser,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",WaAppAgent.exe,C:\WindowsAzure\Packages\CollectGuestLogs.exe,CollectGuestLogs.exe
"Sep 15, 2026 12:34:56 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"""FindVolume.exe"" /label ""Temporary Storage""",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:34:56 AM",system,sql-labuser,"""FindVolume.exe"" /label ""Temporary Storage""",WaAppAgent.exe,C:\WindowsAzure\Packages\FindVolume\FindVolume.exe,FindVolume.exe
"Sep 15, 2026 12:33:18 AM",network service,sql-labuser,sppsvc.exe,services.exe,C:\Windows\System32\sppsvc.exe,sppsvc.exe
"Sep 15, 2026 12:33:11 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,BfeToolWin8.exe,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:33:11 AM",system,sql-labuser,BfeToolWin8.exe,WindowsAzureGuestAgent.exe,C:\WindowsAzure\Packages\BfeToolWin8.exe,BfeToolWin8.exe
"Sep 15, 2026 12:32:49 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,sdbinst.exe -m -bg,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:32:49 AM",system,sql-labuser,sdbinst.exe -m -bg,svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc,C:\Windows\System32\sdbinst.exe,sdbinst.exe
"Sep 15, 2026 12:25:18 AM",system,sql-labuser,"cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Windows\SystemTemp\RES8AD6.tmp"" ""c:\Windows\SystemTemp\iy5hlvvu\CSCA9F8FA90CC1041A4A056318F27FFCCF1.TMP""","""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\iy5hlvvu\iy5hlvvu.cmdline""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,cvtres.exe
"Sep 15, 2026 12:25:18 AM",system,sql-labuser,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\iy5hlvvu\iy5hlvvu.cmdline""","powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\53159fd8-6386-48c2-91e8-cf4860599c43.ps1' }""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,csc.exe
"Sep 15, 2026 12:25:03 AM",system,sql-labuser,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\53159fd8-6386-48c2-91e8-cf4860599c43.ps1' }""","""SenseIR.exe"" ""OfflineSenseIR"" ""3992"" ""eyJDb21tYW5kSWQiOiIiLCJEb3dubG9hZEZpbGVBY3Rpb25Db25maWciOm51bGwsIkRvd25sb2FkVHJ1c3RlZENlcnRpZmljYXRlc0NoYWlucyI6bnVsbCwiRW5hYmxlU2xlZXBTdXNwZW5zaW9uIjowLCJNYXhXYWl0Rm9yTmV3QWN0aW9uc0luTXMiOjEyNjAwMDAsIk9yZ0lkIjoiIiwiUnVuUHNTY3JpcHRBY3Rpb25Db25maWciOnsiZW5hYmxlIjp0cnVlfSwiYWNjZXB0U2ltdWxhdG9yU2lnbmluZyI6MCwib2ZmbGluZUlyUGlwZUhhbmRsZSI6NDA5Mn0=""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:23:43 AM",network service,sql-labuser,"""MpCmdRun.exe"" GetDeviceTicket -AccessKey 31BD643E-600C-273E-DB11-0D99FD103377 ",MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MpCmdRun.exe,MpCmdRun.exe
"Sep 15, 2026 12:23:25 AM",system,sql-labuser,"cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Windows\SystemTemp\RESD287.tmp"" ""c:\Windows\SystemTemp\qshpmwqb\CSC5A9D41F51D194954A3E348B13ED0707C.TMP""","""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\qshpmwqb\qshpmwqb.cmdline""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,cvtres.exe
"Sep 15, 2026 12:23:25 AM",system,sql-labuser,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\qshpmwqb\qshpmwqb.cmdline""","powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\fc19515e-4fbb-46d1-b1f4-a28b394632fe.ps1' }""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,csc.exe
"Sep 15, 2026 12:23:13 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\fc19515e-4fbb-46d1-b1f4-a28b394632fe.ps1' }""",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:23:13 AM",system,sql-labuser,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\fc19515e-4fbb-46d1-b1f4-a28b394632fe.ps1' }""","""SenseIR.exe"" ""OfflineSenseIR"" ""3992"" ""eyJDb21tYW5kSWQiOiIiLCJEb3dubG9hZEZpbGVBY3Rpb25Db25maWciOm51bGwsIkRvd25sb2FkVHJ1c3RlZENlcnRpZmljYXRlc0NoYWlucyI6bnVsbCwiRW5hYmxlU2xlZXBTdXNwZW5zaW9uIjowLCJNYXhXYWl0Rm9yTmV3QWN0aW9uc0luTXMiOjEyNjAwMDAsIk9yZ0lkIjoiIiwiUnVuUHNTY3JpcHRBY3Rpb25Db25maWciOnsiZW5hYmxlIjp0cnVlfSwiYWNjZXB0U2ltdWxhdG9yU2lnbmluZyI6MCwib2ZmbGluZUlyUGlwZUhhbmRsZSI6NDA5Mn0=""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:21:23 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\149ae17f-1c51-47e8-90b8-8175a782d62b.ps1' }""",C:\Windows\System32\conhost.exe,conhost.exe
